Country,Code,Year,Cumulative_CO2_emissions
Saint Vincent and the Grenadines,VCT,2020,6966830
Samoa,WSM,2020,6782410
Sao Tome and Principe,STP,2020,3360735
Saudi Arabia,SAU,2020,15936377001
Senegal,SEN,2020,243298685
Serbia,SRB,2020,2734456327
Seychelles,SYC,2020,13379536
Sierra Leone,SLE,2020,36096233
Singapore,SGP,2020,2157027728
Sint Maarten (Dutch part),SXM,2020,67703530
Slovakia,SVK,2020,3869881084
Slovenia,SVN,2020,851099602
Solomon Islands,SLB,2020,10434984
Somalia,SOM,2020,32889848
South Africa,ZAF,2020,21164298479
South America,,2020,43288718797
South Korea,KOR,2020,18335706556
South Sudan,SSD,2020,38352164
Spain,ESP,2020,14853332896
Sri Lanka,LKA,2020,500280693
Sudan,SDN,2020,446154339
Suriname,SUR,2020,115203031
Sweden,SWE,2020,4987955651
Switzerland,CHE,2020,3022784713
Syria,SYR,2020,1867933805
Taiwan,TWN,2020,9046735646
Tajikistan,TJK,2020,489613510
Tanzania,TZA,2020,243841497
Thailand,THA,2020,7364298189
Timor,TLS,2020,6543008
Togo,TGO,2020,66128454
Tonga,TON,2020,4383586
Trinidad and Tobago,TTO,2020,1569561122
Tunisia,TUN,2020,901511537
Turkey,TUR,2020,10839787738
Turkmenistan,TKM,2020,2434765662
Turks and Caicos Islands,TCA,2020,3930547
Tuvalu,TUV,2020,278925
Uganda,UGA,2020,105594979
Ukraine,UKR,2020,30559156342
United Arab Emirates,ARE,2020,4695477307
United Kingdom,GBR,2020,78161145636
United States,USA,2020,4.16723E+11
Upper-middle-income countries,,2020,5.04295E+11
Uruguay,URY,2020,371228927
Uzbekistan,UZB,2020,6310349345
Vanuatu,VUT,2020,4752294
Venezuela,VEN,2020,7854691960
Vietnam,VNM,2020,3977272058
Wallis and Futuna,WLF,2020,507247
World,OWID_WRL,2020,1.69652E+12
Yemen,YEM,2020,624654156
Zambia,ZMB,2020,247987833
Zimbabwe,ZWE,2020,779383468
